timestamp,capacity_percent,current_mA
2026-04-28 13:36:59,56,885.00
2026-04-28 13:37:00,56,681.00
2026-04-28 13:37:01,56,715.00
2026-04-28 13:37:02,56,681.00
2026-04-28 13:37:03,56,715.00
2026-04-28 13:37:04,56,681.00
2026-04-28 13:37:05,56,749.00
2026-04-28 13:37:06,56,715.00
2026-04-28 13:37:07,56,715.00
2026-04-28 13:37:08,56,749.00
2026-04-28 13:37:09,56,0.00,插入电源适配器
2026-04-28 13:37:10,56,0.00
2026-04-28 13:37:11,56,2040.00
2026-04-28 13:37:12,56,2210.00
2026-04-28 13:37:13,56,2210.00
2026-04-28 13:37:14,56,2210.00
2026-04-28 13:37:15,56,2210.00
2026-04-28 13:37:16,56,2210.00
2026-04-28 13:37:17,56,2210.00
2026-04-28 13:37:18,56,2176.00
2026-04-28 13:37:19,56,2210.00
2026-04-28 13:37:20,56,2210.00
2026-04-28 13:37:21,56,2210.00
2026-04-28 13:37:22,56,2210.00
2026-04-28 13:37:23,56,2210.00
2026-04-28 13:37:24,56,2210.00
2026-04-28 13:37:25,56,2210.00
2026-04-28 13:37:26,56,2210.00
2026-04-28 13:37:27,56,2210.00
2026-04-28 13:37:28,56,2210.00
2026-04-28 13:37:29,56,2210.00
2026-04-28 13:37:30,56,2210.00
2026-04-28 13:37:31,56,2210.00
2026-04-28 13:37:32,56,2210.00
2026-04-28 13:37:33,56,2210.00
2026-04-28 13:37:34,56,2244.00
2026-04-28 13:37:35,56,2244.00
2026-04-28 13:37:36,56,2244.00
2026-04-28 13:37:37,56,2244.00
2026-04-28 13:37:38,56,2244.00
2026-04-28 13:37:39,56,2244.00
2026-04-28 13:37:40,56,2244.00
2026-04-28 13:37:41,56,2244.00
2026-04-28 13:37:42,56,2244.00
2026-04-28 13:37:43,56,2244.00
2026-04-28 13:37:44,56,2244.00
2026-04-28 13:37:45,56,2108.00
2026-04-28 13:37:46,56,2244.00
2026-04-28 13:37:47,56,2244.00
2026-04-28 13:37:48,56,2244.00
2026-04-28 13:37:49,56,2244.00
2026-04-28 13:37:50,56,2244.00
2026-04-28 13:37:51,56,2244.00
2026-04-28 13:37:52,56,2244.00
2026-04-28 13:37:53,56,2244.00
2026-04-28 13:37:54,56,2244.00
